CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
0.19133,22,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,18.46
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,9.22
0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,6.05
8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12
10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79
0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07
1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81
0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88
3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82
0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56
18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,29.05
23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,23.69
0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,13.59
0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,14.81
0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,4.45
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,5.33
7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52
16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,30.81
0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,5.21
1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,34.41
0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,7.73
0.55778,0,21.89,0,0.624,6.335,98.2,2.1107,4,437,21.2,16.96
0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,21.02
15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26
0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59
0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,5.25
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05
0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79
0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22
4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79
13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35
0.01439,60,2.93,0,0.401,6.604,18.8,6.2196,1,265,15.6,4.38
15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91
3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65
1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,5.5
2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34
17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,21.78
0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1
0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,21.14
4.64689,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,11.66
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43
7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,16.23
37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52
0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8
2.24236,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,11.64
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66
0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5
0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99
0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45
5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22
0.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98
0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,11.25
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7
0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5
0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21
0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5
3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13
0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98
0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,11.69
0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,7.26
0.03768,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,6.62
2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,27.8
1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,6.43
1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,14.1
0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,5.9
3.67367,0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,10.58
1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53
0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54
14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,18.05
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24
0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72
9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08
0.2909,0,21.89,0,0.624,6.174,93.6,1.6119,4,437,21.2,24.16
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67
8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03
28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08
0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,21.46
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,14.67
2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,16.65
0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,9.25
3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,10.45
0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,6.36
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44
4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01
0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9
0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11
0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,3.53
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,12.04
2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,11.1
9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37
0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21
3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29
0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36
5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29
0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9
0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1
0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,5.49
0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45
